Full Name
Bradley Spahn
 Sahil Verma
 Pedro Ramaciotti Morales
Yuta Tomokiyo
 Kimitaka Asatani
 Kunihiro Miyazaki
 Fujio Toriumi
 Ichiro Sakata
Matija Franklin
 Trisevgeni Papakonstantinou
 Tianshu Chen
 Carlos Fernandez-Basso
 David Lagnado
Sahar Baribi-Bartov
 Briony Swire-Thompson
 Nir Grinberg
Ohhyun Kwon
 Damin Lee
 Inho Hong
 Jaehyuk Park
 Hyejin Youn
 Woo-Sung Jung
Federico Delussu
 Michele Tizzoni
 Laetitia Gauvin
Simone Centellegher
 Lorenzo Lucchini
 Marco Tonin
 Bruno Lepri
 Marco De Nadai
David Mingfei Liu
Damin Lee
 Inho Hong
 Jaehyuk Park
 Woo-Sung Jung
 Hyejin Youn
Nandini Iyer
 Ronaldo Menezes
 Hugo Barbosa
Lorenzo Dall'Amico
 Onicio Leal
 Lonjezo Dzekedzeke
 Beverly Laher
 Guilherme Lichand
 Ciro Cattuto
Anna Sapienza
 Alessandra Urbinati
 Salvatore Vilella
Roland Toth
 Christian Strippel
 Marita Lítlá
 Sune Lehmann
 Laura Maria Alessandretti
 Irena Đorđević
 Robert West
David Joachim Grüning
 Frederik Riedel
 Philipp Lorenz-Spreen
Chia-Jung Tsai
 Robert Gordon Rinderknecht
 Emilio Zagheni
 Wojtek Przepiorka
 Vincent Buskens
Lisa Merten
 Maren Schuster
 Felix Victor Münch
Aymeric Luneau
 Jean-Philippe Cointet
Yuan Zhang
 Pu Yan
 Ralph Schroeder
Akira Matsui
 Kunihiro Miyazaki
 Taichi Murayama
Tiziano Piccardi
 Martin Gerlach
 Robert West
 Emilio Ferrara
Patrick Gildersleve
Akhil Arora
 Martin Gerlach
 Robert West
Ivan Smirnov
 Camelia Oprea
 Markus Strohmaier
 Ashton Anderson
 Robert West
Shreya Havaldar
 Salvatore Giorgi
 Thomas Talhelm
 Sharath Chandra Guntuku
 Lyle Ungar
James Calum Young
 Hywel T.P. Williams
 Rudy Arthur
Camille Landesvatter
 Paul C. Bauer
Hang Jiang
 Xiajie Zhang
 Xubo Cao
 Jad Kabbara
Lucio La Cava
 Andrea Tagarelli
 Luca Maria Aiello
Anubhab Das
 Sanja Scepanovic
 Luca Maria Aiello
Ozgur Can Seckin
 Onur Varol
 Satyaki Sikdar
 Marie-Laure Charpignon
 Sagar Kumar
 Francesco Rinaldi
 Francesco Tudisco
 Santo Fortunato
 Maimuna S Majumder
 Roberta Sinatra
 Michael Szell
 Yanmeng Xing
 Suman Maity
 Stefan Wuchty
 Dashun Wang
Jan Bachmann
 Lisette Espin-Noboa
 Fariba Karimi
Claudia Acciai
 Benjamin C Holding
 Mathias Wullum Nielsen
 Jesper Wiborg Schneider
 Luca Maria Aiello
 Gianmarco De Francisci Morales
 Francesco Bonchi
Subhayan Mukerjee
 Tian Yang
 Yilang Peng
Mengjie Cheng
 Shunyuan Zhang
Makoto Mizuno
 Hiroki Takikawa
Tina Law
 Em Bello-Pardo
 Natalie McDaniel Gallagher
Zoltan Kmetty
 Adam Stefkovics
 Julia Szamely
 Dongning Deng
 Kellner Aniko
 Edit Paulo
 Elisa Omodei
James Michelson
Miruna Cotet
 Wenjia Zhao
 Ian Krajbich
Seongwoon Kim
 Jaehyuk Park
 Sonja Walter
Edward Lee
 Alan Paul Kwan
 Anjali Bhatt
 Rudolf Hanel
 Frank Neffke
Hirokazu Shirado
 Shunichi Kasahara
 Nicholas A Christakis
Luis M Rocha
 Rion Brattig Correia
 Alain Barrat
Sebastiano Bontorin
 Bruno Lepri
 Riccardo Gallotti
 Luca Pappalardo
 Manlio De Domenico
Qingtao Cao
 Babak Heydari
Giovanni Mauro
 Antonio Longa
 Bruno Lepri
 Luca Pappalardo
Maddalena Conte
Nail Furkan Bashan
 Qi Wang
Kishore Vasan
Xinlan Emily Hu
 Linnea Gandhi
 Abdullah Almaatouq
 Duncan J. Watts
Lillio Mok
 Lu Sun
 Shilad Sen
 Bahareh Sarrafzadeh
James P Houghton
 Duncan J Watts
Yuzuki Takahashi
 Hayato Misumi
 Mikiko Shimaoka
 Tomomi Kito
Tzu-Chi Yen
 Kate L. Wootton
 Aaron Clauset
 Daniel Larremore
Ezequiel Lopez Lopez
 Stefan M. Herzog
Sanja Scepanovic
 Luca Maria Aiello
 Ke Zhou
 Daniele Quercia
Wanqi Hu
 Xinran Wang
Yunhao Yuan
 Koustuv Saha
 Barbara Keller
 Erkki Tapio Isometsä
 Talayeh Aledavood
Artem Kuriksha
 Priyanka Goonetilleke
 Anastasia Karpova
 Peter Meylakhs
Sebastian Mildiner Moraga
 Fionneke M Bos
 Bennard Doornbos
 Richard Bruggeman
 Lian van der Krieke
 Evelien Snippe
 Emmeke Aarts
Elizaveta Sivak
 Malvina Nissim
 Gert Stulp
Frederik Andersen
 Pantelis P. Analytis
 Diana Verdes
 Kristian Peter Lorenzen
 Julian Berger
 Ralf Kurvers
Elias Najarro
 Claire Glanois
 Louisa Jane Di Felice
 Djordje Grbic
Meysam Alizadeh
 Darya Zare
 Mohammadhadi Aliahmadi
 Mael Kubli
 Sarvenaz Ebrahimi
 Fabrizio Gilardi
Jaime Pérez
 Edmond Awad
 Gregorio López
 Mario Castro
Daniel Valdenegro
 Charles Rahal
Joel Harrison Suss
 Dylan Connor
 Tom Kemeny
Junsol Kim
 Byungkyu Lee
Erkan Gunes
 Christoffer Koch Florczak
Vasanth Sarathy
 Sonja M Schmer-Galunder
 Dan Thomsen
 Laurel Bobrow
 Richard Freedman
 Marios Constantinides
 Daniele Quercia
Zachary Pangan
 Eiji Aramaki
 Shoko Wakamiya
 Kongmeng Liew
 Shuntaro Yada
 Wan Jou She
Alessandro Gambetti
 Qiwei Han
 Ashton Anderson
Rupert Tibor Kiddle
 Anne Kroon
 Kasper Welbers
Satoshi Tohda
 Naoki Yoshinaga
 Masashi Toyoda
Regina Widjaya
 Galen Stocking
 Aaron Smith
Amin Mekacher
 Andrea Baronchelli
 Giona Casiraghi
 Luca Verginer
Fengyuan Michael Liu
 Talal Rahwan
 Bedoor Alshebli
Sylvain Fontaine
 Floriana Gargiulo
 Michel Dubois
 Paola Tubaro
Jose Miguel Cordova
 Emoke-Agnes Horvat
 Daniel Romero
Aliakbar Akbaritabar
 Andres F. Castro Torres
 Vincent Lariviere
 Cassidy R. Sugimoto
Erin Walk
Sam Zhang
 Nicholas LaBerge
 Daniel Larremore
 Aaron Clauset
Edmond Awad
 Indrajeet Patil
 Erez Yoeli
 Iyad Rahwan
 Zoe K. Rahwan
Elohim Fonseca dos Reis
 Alex Teytelboym
 Abeer ElBahrawy
 Andrea Baronchelli
Ella Clement
Alejandro Beltran
 Kathyrn R Fair
Sebastian Steffen
Nikolitsa Grigoropoulou
 Mario L. Small
Daniela Perrotta
 Tom Theile
 Carlos Callejo Penalba
 Kiran Garimella
 Ingmar Weber
 Emilio Zagheni
Lavinia Rossi Mori
 Vittorio Loreto
 Riccardo Di Clemente
Erick Elejalde
 Victor Navarro
 Loreto Bravo
 Emilio Zagheni
 Leo Ferres
Francisco Barreras
 Bethany Hsiao
 Duncan J Watts
 Ronaldo Menezes
 Hugo Barbosa
Yuan Liao
 Jorge Gil
 Sonia Yeh
 Laura Maria Alessandretti
 Christoph Benedikt Gote
 Laurence Brandenberger
 Sophia Johanna Schlosser
 Frank Schweitzer
Niklas Stoehr
 Benjamin J Radford
 Ryan Cotterell
 Aaron Schein
Rémi Perrier
 Laura Hernandez
 Mariano Gastón Beiró
