Full Name
 Iyad Rahwan
Takahiro Miura
 Kimitaka Asatani
 Ichiro Sakata
Xinyi Zhao
 Ridhi Kashyap
 Emilio Zagheni
 Nicholas LaBerge
 K. Hunter Wapman
 Allison Christine Morgan
 Mirta Galesic
 Bailey Fosdick
 Daniel Larremore
 Aaron Clauset
Munjung Kim
 Yong-Yeol Ahn
Ana María Jaramillo
 Mariana Macedo
 Marcos Oliveira
 Fariba Karimi
 Ronaldo Menezes
 Lili Miao
 Yong-Yeol Ahn
 Clara Boothby
 Attila Varga
 Xiaoran Yan
 Stasa Milojevic
 Alessandro Flamini
 Filippo Menczer
 Yong-Yeol Ahn
Tongyu Ding
 Qing Ke
 Indraneel Mane
Louis M Shekhtman
 Albert-Laszlo Barabasi
 Daniel Scott Smith
 Xiang Ren
 Hancheng Cao
 Sanne Smith
 Daniel A. McFarland
Bedoor AlShebli
 Shahan Ali Memon
 James Evans
 Talal Rahwan
Cristian E Candia
 Cesar A Hidalgo
 Victor Landaeta
 Cecilia Monge
 Tamara Yaikin
 Carlos Rodriguez-Sickert
Robin Delabays
 Melvyn Tyloo
 Frank Berthold
 Christoph Bartenhagen
Mariana Macedo
 Ana Maria Jaramillo
 Ronaldo Menezes
Xiaohui WANG
 Wen Hao HE
 Han Zheng
 Jonathan Zhu
Kevin Munger
 Drew Dimmery
Yizhou Fan
 Kaixiang Kang
 NAKAO Ran
Alexandra Florea
 Lea Biere
 Ilona Horwath
 Silvia Ioana Fierăscu
Saumya Tripathi
Telmo Menezes
 Antonin Pottier
 Camille Roth
Margarita Torre
 Jesús A. Prieto-Alonso
 Iñaki Ucar
Taekho You
 Jinseo Park
 June Young Lee
 Jinhyuk Yun
 Oliver Baumann
Yevgeniy Golovchenko
 Karolina Stanczak
 Rebecca Adler-Nissen
 Patrice Wangen
 Isabelle Augenstein
Zhixuan Zhou
 Jiao Sun
 Jiaxin Pei
 Nanyun Peng
 Jinjun Xiong
 Yang Wang
Giyeon Baek
Bedoor Alshebli
 Enshu Cheng
 Ramesh Jagannathan
 Pablo Hernández-Lagos
 Talal Rahwan
David Joyner
Jaehyuk Park
 Agnieszka Czaplicka
 Iyad Rahwan
Mingjing Yin
Carolina Coimbra Vieira
 Marisa Vasconcelos
 Ebru Sanliturk
 Emilio Zagheni
Daniele Rama
 Miriam Redi
 Robert West
 Rossano Schifanella
 Martin Gerlach
 Robert West
 Martin Gerlach
 Robert West
Shintaro Sakai
 Yasuhiro Suzuki
Thomas Franz Müller
 James Winters
 Niccolo Pescetelli
Federico Pilati
 Oriol Artime
 Pier Luigi Sacco
Aidar Zinnatullin
Fredrik Jansson
Isabel Sebire
 Valerii Chirkov
 Sara Bonati
 Maxim Derex
 Anne-Marie Nussberger
 Iyad Rahwan
Daniel Torren Peraire
 Ivan Savin
Hyeseung Shim
 Jihoon Kim
 Jaehong Ahn
 Chung-Kon Shi
Christoph Kern
 Rob Chew
 Jacob Beck
 Stephanie Eckman
 Frauke Kreuter
Narayani Vedam
Pu Yan
 Scott A. Hale
 Huiyi Lv
Stephen Davies
Ahmad Hesam
 Zaid Al-Ars
 Fons Rademakers
 Frank Pijpers
Jason Hiigh Thompson
 Paul Salmon
 Chris Baber
 Scott McClean
 Gemma Read
 Tony Carden
 Neville Stanton
 Michael Inzlicht
 Ashton Anderson
Kristina Aleksandrovna Pedersen
 Jonas Raaschou-Pedersen
 Anna Rogers
Kun He
 Qianru Meng
 Xiao Zhang
 Malvina Nissim
Neeley Pate
 Inga Trauthig
 Josephine Lukito
 Samuel Woolley
Anna Di Natale
 David Garcia
Shatayu Kulkarni
 Sabine Brunswicker
Theresa Henn
 Sarah Tell
 Julian Polenz
 Oliver Posegga
Lama Abdulrahman Alqazlan
Andrea W Wang
 David Mimno
Francisco Olivos
Ana Alonso Curbelo
Shintaro Ueki
 Fujio Toriumi
 Toshiharu Sugawara
Moena Hashimoto
 Yotaro Takazawa
 Kazutoshi Sasahara
Linda Coufal
 Lion Wedel
Priyanshi Sharma
 Somya Tomar
 Disha Saini
 Rishabh Kaushal
Fabian Braesemann
 Alexandra Rottenkolber
Vadim Voskresenskii
Trisevgeni Papakonstantinou
 Paulina Bondaronek
Daniela Valdes
Juan Carlos Rocha
 Victor Galaz
Silvia Leoni
 Andrea Gentili
Hiu Sze Chan
Nabeel Gillani
 Doug Beeferman
 Cassandra Overney
 Christine Vega Pourheydarian
 Deb Roy
Kumar Chandra
 Frank Pantano
 George Bikhazi
Kunihiro Miyazaki
 Takayuki Uchiba
 Haewoon Kwak
 Jisun An
 Kazutoshi Sasahara
Sota Watanabe
 Genki Ichinose
Catalina Vajiac
 Arun Frey
 Joachim Baumann
 Abby Smith
Marcos Oliveira
 Junran Yang
 Denis Bonnay
 Juhi Kulshrestha
Kazuhiro Seki
Lisette Espin Noboa
 Serine Ramlawi
 Marton Karsai
 Daniel J Corsi
Timothy Douglas
 Licia Capra
 Mirco Musolesi
Huiyi Lyu
 Ralph Schroeder
Ayan-Yue Gupta
 Duncan J Watts
Saeedeh Mohammadi
 Gabriela Juncosa
 Margaret Samahita
 Taha Yasseri
Dennis Assenmacher
 Leon Fröhling
 Claudia Wagner
Andrés Gvirtz
 Matteo Montecchi
 Amy Selby
 Friedrich Götz
Sujan Dutta
 Beibei Li
 Daniel Nagin
 Ashiqur R KhudaBukhsh
Indira Sen
 Mattia Samory
 Claudia Wagner
 Isabelle Augenstein
Lorenzo Lucchini
 Ollin Demian Langle-Chimal
 Bruno Lepri
 Samuel Fraiberger
Max Pellert
 Hannah Metzler
 Michael Matzenberger
 David Garcia
Dongwoo Lim
 Mikihito Tanaka
 Fujio Toriumi
 Mitsuo Yoshida
 Daniele Quercia
 Sagar Joglekar
Varun Tandon
 Vrushabh Vilas Wadnere
 Ashiqur R KhudaBukhsh
Michael Vincent Arnold
 Christopher Danforth
 Peter Dodds
 Sanja Šćepanović
 Jason Rentfrow
 Daniele Quercia
Gabriele Etta
 Matteo Cinelli
 Michele Avalle
 Walter Quattrociocchi
Matthew DeVerna
 Rachith Aiyappa
 Diogo Pachecho
 John Bryden
 Filippo Menczer
Michele Coscia
 Clara Vandeweerdt
 Taichi Murayama
 Takayuki Uchiba
 Haewoon Kwak
 Jisun An
Suyash Fulay
 Deb Roy
Jisu Kim
 Alina Sîrbu
 Giulio Rossetti
 Fosca Giannotti
 Hillel Rapoport
 Katharina Lawall
Hendrik Erz
Alejandro Hermida Carrillo
 Amir Goldberg
Alfredo Hernandez Sanchez
Nicholas J Pangakis
 Samuel Wolken
 Neil Fasching
Sami Alexej Nenno
Yiyan Zhang
 Qin Li
 Ruhao Liu
 Zishan Lan
 Xiaoya Chen
 Doug Beeferman
 Deb Roy
Tobin South
 Guy Zyskind
 Robert Mahari
 Alex Pentland
 Clemens M. Lechner
 Claudia Wagner
 Beatrice Rammstedt
 Markus Strohmaier
 Bin Wang
Vera Sosnovik
Linda Li
 Balazs Vedres
 Orsolya Vasarhelyi
Marieke Van Hoof
 Corine Meppelink
 Judith Moeller
Fan Liang
 Yuchen Cao
Zsófia Rakovics
 Márton Rakovics
Yan Xia
 Antti Gronow
 Arttu Malkamäki
 Tuomas Ylä-Anttila
 Barbara Keller
 Mikko Kivelä
 Cesar A Hidalgo
Pablo Moral
Huma Rasheed
 Casey Randazzo
 Melissa J Dreier
 Akeela Careem
Li Liao
 Wenna Chen
Sawa Yoshioka
 Tomomi Kito
Anne C Kroon
 Rens Vliegenthart
 Jeroen Jonkman
 Shaun Bevan
 Christoffer Green-Pedersen
Alessia Antelmi
 Daniele De Vinco
 Carmine Spagnuolo
 Gennaro Cordasco
Duilio Balsamo
 Jakob Schlierf
 Alessia Melegaro
Lui Ruck
Jacob R Brown
 Enrico Cantoni
 Sahil Chinoy
 Martin Koenen
 Vincent Pons
Khalid K Osman
 Florian Barbaro
 Andy Skumanich
 Roberto Ulloa
 Juhi Kulshrestha
Layla Bouzoubaa
 Shadi Rezapour
 Denis E Hudon
Mohamed Abouelenien
 Mihai Burzo
 Rada Mihalcea
Yelena Mejova
 Anya Hommadova Lu
Karim Hamade
 Siddhartha Sen
 Jon Kleinberg
 Ashton Anderson
 Abdullah Almaatouq
Cassandra Overney
 Belén C Saldías Fuentes
 Dimitra Dimitrakopoulou
 Deb Roy
Manuel Vimercati
 Matteo Palmonari
Lion Wedel
Mónika Simon
 Savvas Zannettou
 Kasper Welbers
 Anne Kroon
Tornike Tsereteli
 Simone Paolo Ponzetto
Zexun Chen
 Sean Kelty
 Alexandre Evsukoff
 Brooke Foucault Welles
 James Bagrow
 Ronaldo Menezes
 Gourab Ghoshal
Sonja M Schmer Galunder
 Gwyneth Sutherlin
 Adam H. Russell
Akira Tsurushima
Piyush Ghasiya
Balaraju Battu
 Talal Rahwan
 Alex Pentland
 Daniele Quercia
 Marios Constantinides
 Matteo Montecchi
 Licia Capra
 Renzo Bianchi
 Debora Nozza
 Francesco Barbieri
Sharon Kang
Nguyen Luong
 Ian Barnett
 Talayeh Aledavood
 Amirhossein Nakhaei
Jiani Yan
Toshiya Saito
Athina Anastasiadou
 Artem Volgin
 Douglas Leasure
 Mohammad Atari
 Nour Kteily
 Brian Uzzi
Masanori Hirano
 Kiyoshi Izumi
Veronika Batzdorfer
 Julia Huschens
 Holger Steinmetz
Laura Casanovas Buliart
 Priscila Alvarez-Cueva
 Carlos Castillo
Karmanya Aggarwal
 Baird Howland
 David Rothschild
 Duncan J. Watts
Mareike Wieland
 Gerret von Nordheim
 Katharina Kleinen
Luiz Neves
Xuanjun Jason Gong
Likun Cao
 Qiankun Zhong
Kenjiro Inoue
 Mitsuo Yoshida
Michelangelo Rossi
 Tommaso Bondi
 Ryan Louis Stevens
Samar Haider
 David Rothschild
 Duncan Watts
 David Rothschild
 Chris Callison-Burch
 Duncan Watts
Lin Ai
 Yu-Wen Chen
 Yuwen Yu
 Seoyoung Kweon
 Julia Hirschberg
 Sarah Ita Levitan
 Jean-Philippe Cointet
Eladio Montero-Porras
 Riccardo Gallotti
 Jelena Grujić
 Tom Lenaerts
 Navya Suri
 Abdullah Zameek
 Talal Rahwan
Elizaveta Chernenko
Delphine De Moor
 Jordan Hart
 Camille Testard
 Alex Mielke
 Alba Motes Rodrigo
 Dan Franks
 Matthew Silk
Hikaru Asano
 Osamu Sakura
Cornelius Puschmann
 Sebastian Stier
 Katrin Weller
 Juhi Kulshrestha
Ronald E. Robertson
 Amy Dunphy
 Shelby Grossman
Shotaro Ishihara
 Hiromu Takahashi
 Hono Shirai
Roman Kyrychenko
 Carlos Fernandez-Basso
 Darko Stojilovic
 Hal Ashton
 Bertram Malle
 Vanessa Cheung
 Srdja Dragovic
 David Lagnado
Johannes Ross
 Vera Rocha
 Tom Grad
 Jörg Claussen
 Lynn Smith-Lovin
Alexandros Gelastopoulos
 Pantelis Analytis
 Gaël Le Mens
 Arnout van de Rijt
Mahnaz Roshanaei
 Sumer Vaid
 Andrea Leigh Courtney
 Serena Jimyn Soh
 Jamil Zaki
 Gabriella Harari
Coen D Needell
 Elliot Pickens
 David M Rothschild
 Duncan J Watts
Rachith Aiyappa
 Yong-Yeol Ahn
 Renaud Lambiotte
Anna George
 Jonathan Bright
 Ana Valdivia
